WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem
WO000001,20241229,20241231,A002,EQ0014,SV4,R010,WT1,P3,S4,59.76,81.05,False,False,ServiceDesk
WO000002,20240929,20241001,A003,EQ0026,SV2,R019,WT1,P2,S4,14.67,14.69,True,False,ERP
WO000003,20240806,20240809,A003,EQ0029,SV1,R023,WT2,P3,S4,40.74,17.4,False,False,CMMS
WO000004,20240213,20240214,A003,EQ0035,SV4,R005,WT2,P1,S4,5.32,5.73,True,False,ERP
WO000005,20240521,,A006,EQ0017,SV5,R002,WT2,P3,S2,27.52,22.57,False,False,ERP
WO000006,20240622,,A001,EQ0038,SV7,R005,WT2,P3,S2,50.69,113.35,False,True,CMMS
WO000007,20241012,,A003,EQ0013,SV6,R028,WT3,P3,S1,62.63,81.03,False,True,ERP
WO000008,20240803,20240809,A003,EQ0009,SV7,R008,WT6,P3,S4,51.96,41.11,False,False,ServiceDesk
WO000009,20240609,20240613,A004,EQ0016,SV7,R016,WT1,P3,S4,43.6,27.47,False,False,ServiceDesk
WO000010,20240223,,A004,EQ0022,SV4,R017,WT2,P2,S1,21.08,40.31,True,False,CMMS
WO000011,20240918,20240922,A001,EQ0027,SV3,R009,WT1,P2,S4,17.49,25.89,True,False,CMMS
WO000012,20240607,20240611,A002,EQ0034,SV5,R026,WT1,P3,S4,27.46,27.71,False,False,ERP
WO000013,20240114,20240116,A003,EQ0009,SV4,R002,WT6,P1,S4,5.75,8.19,True,False,ServiceDesk
WO000014,20240413,,A003,EQ0013,SV3,R016,WT1,P2,S1,9.19,8.77,True,False,CMMS
WO000015,20241117,,A001,EQ0038,SV1,R013,WT1,P3,S1,37.37,64.65,False,True,CMMS
WO000016,20240213,20240215,A001,EQ0018,SV4,R024,WT2,P1,S4,5.51,9.24,True,False,CMMS
WO000017,20240528,20240529,A005,EQ0010,SV4,R006,WT2,P1,S4,3.75,2.08,True,False,ServiceDesk
WO000018,20240706,20240709,A001,EQ0040,SV8,R029,WT2,P3,S4,26.71,16.43,False,False,ERP
WO000019,20240131,20240206,A001,EQ0018,SV7,R024,WT6,P2,S4,16.56,42.95,True,False,ERP
WO000020,20240301,20240309,A001,EQ0040,SV3,R023,WT3,P3,S4,36.52,59.7,False,False,ERP
WO000021,20241210,,A003,EQ0037,SV1,R015,WT2,P4,S3,77.18,50.19,False,False,CMMS
WO000022,20240804,20240809,A003,EQ0037,SV7,R020,WT3,P4,S4,59.24,33.85,False,False,ServiceDesk
WO000023,20240317,20240325,A005,EQ0024,SV4,R007,WT5,P3,S5,52.38,63.17,False,False,CMMS
WO000024,20240303,,A005,EQ0032,SV1,R001,WT1,P2,S2,20.22,13.83,True,False,ServiceDesk
WO000025,20240604,20240609,A004,EQ0039,SV7,R023,WT3,P3,S4,28.63,37.39,False,False,ERP
WO000026,20240921,,A004,EQ0011,SV3,R014,WT3,P3,S1,56.34,82.4,False,False,ERP
WO000027,20240924,20240929,A003,EQ0002,SV2,R011,WT4,P3,S4,31.38,33.39,False,False,ERP
WO000028,20240312,,A003,EQ0013,SV6,R009,WT1,P2,S2,12.75,22.61,True,False,ERP
WO000029,20240922,20240924,A003,EQ0026,SV7,R019,WT4,P1,S4,4.37,10.44,True,False,ServiceDesk
WO000030,20241124,20241126,A004,EQ0022,SV7,R016,WT4,P2,S4,11.12,13.57,True,False,CMMS
WO000031,20240323,,A003,EQ0004,SV3,R021,WT3,P2,S1,9.39,6.46,True,False,ERP
WO000032,20240110,,A001,EQ0023,SV5,R029,WT1,P2,S2,18.54,24.13,True,False,CMMS
WO000033,20241216,20241231,A005,EQ0007,SV4,R026,WT1,P4,S4,94.38,206.96,False,False,CMMS
WO000034,20240710,,A002,EQ0021,SV7,R010,WT4,P1,S2,7.19,6.7,True,False,ERP
WO000035,20241011,20241024,A005,EQ0024,SV2,R008,WT3,P3,S4,62.21,98.27,False,False,ERP
WO000036,20240427,20240504,A003,EQ0026,SV7,R005,WT6,P4,S4,70.69,54.96,False,True,CMMS
WO000037,20240419,,A006,EQ0017,SV3,R018,WT2,P2,S2,10.16,11.33,True,False,ERP
WO000038,20240323,20240326,A006,EQ0017,SV5,R025,WT1,P3,S4,25.62,17.38,False,False,ERP
WO000039,20240320,20240327,A006,EQ0028,SV5,R008,WT4,P3,S4,46.25,51.35,False,False,CMMS
WO000040,20240621,,A006,EQ0030,SV3,R030,WT4,P2,S3,19.76,20.8,True,False,ServiceDesk
WO000041,20240208,,A005,EQ0033,SV2,R013,WT2,P3,S3,35.81,51.09,False,False,CMMS
WO000042,20241104,20241114,A002,EQ0014,SV3,R024,WT4,P3,S4,33.08,77.14,False,True,ServiceDesk
WO000043,20240706,20240711,A006,EQ0017,SV5,R009,WT2,P3,S4,42.58,39.97,False,False,CMMS
WO000044,20241130,20241204,A002,EQ0014,SV5,R005,WT1,P3,S4,60.58,28.91,False,False,CMMS
WO000045,20240702,20240715,A004,EQ0022,SV5,R016,WT1,P4,S4,71.81,98.42,False,False,ServiceDesk
WO000046,20240420,20240423,A006,EQ0006,SV6,R017,WT2,P2,S4,17.94,22.48,True,False,ERP
WO000047,20240707,20240714,A001,EQ0018,SV1,R015,WT3,P3,S4,43.52,52.35,False,False,CMMS
WO000048,20240226,20240304,A004,EQ0008,SV4,R013,WT2,P3,S4,39.97,55.82,False,False,ServiceDesk
WO000049,20241028,20241112,A004,EQ0022,SV3,R020,WT6,P3,S4,42.66,118.89,False,False,ServiceDesk
WO000050,20240920,,A003,EQ0035,SV4,R020,WT1,P3,S3,55.63,65.1,False,False,ERP
WO000051,20240223,20240302,A001,EQ0040,SV4,R005,WT3,P3,S5,55.07,58.25,False,False,ServiceDesk
WO000052,20240801,20240809,A001,EQ0018,SV2,R021,WT2,P4,S4,70.5,56.2,False,False,ServiceDesk
WO000053,20240715,20240717,A004,EQ0003,SV8,R010,WT1,P2,S4,11.93,8.55,True,False,CMMS
WO000054,20240314,20240319,A005,EQ0010,SV1,R025,WT2,P3,S4,30.71,38.97,False,False,ERP
WO000055,20240214,20240216,A002,EQ0005,SV5,R015,WT6,P2,S5,8.42,10.31,True,False,ServiceDesk
WO000056,20241005,20241008,A005,EQ0031,SV4,R008,WT6,P3,S4,29.69,21.03,False,False,CMMS
WO000057,20240406,20240411,A001,EQ0040,SV6,R006,WT2,P3,S4,31.72,34.41,False,True,CMMS
WO000058,20240708,20240715,A001,EQ0023,SV7,R029,WT2,P3,S4,52.52,54.64,False,False,CMMS
WO000059,20240331,20240409,A004,EQ0008,SV6,R022,WT1,P3,S4,57.59,66.1,False,False,ServiceDesk
WO000060,20240827,20240902,A006,EQ0001,SV7,R007,WT2,P3,S4,54.38,43.07,False,False,ERP
WO000061,20240118,,A001,EQ0040,SV3,R016,WT2,P2,S2,17.95,23.51,True,False,ServiceDesk
WO000062,20240511,20240514,A003,EQ0013,SV8,R004,WT6,P2,S4,21.53,21.64,True,False,CMMS
WO000063,20240719,20240722,A002,EQ0005,SV1,R026,WT3,P2,S4,21.11,18.2,True,True,CMMS
WO000064,20240609,20240617,A004,EQ0008,SV6,R025,WT1,P4,S4,59.74,62.07,False,False,CMMS
WO000065,20240812,20240814,A004,EQ0011,SV2,R025,WT6,P2,S4,10.32,14.57,True,False,CMMS
WO000066,20240307,20240318,A001,EQ0027,SV2,R014,WT3,P4,S4,52.12,84.93,False,False,CMMS
WO000067,20240610,20240614,A003,EQ0036,SV7,R005,WT1,P2,S4,20.22,24.38,True,False,CMMS
WO000068,20241003,20241007,A003,EQ0012,SV6,R015,WT4,P3,S4,29.25,29.26,False,False,ERP
WO000069,20240502,,A006,EQ0028,SV6,R016,WT2,P3,S2,38.67,48.65,False,True,ERP
WO000070,20240227,20240314,A004,EQ0003,SV7,R010,WT2,P3,S4,46.2,122.26,False,False,ERP
WO000071,20241106,20241115,A006,EQ0001,SV3,R012,WT1,P3,S4,49.49,67.21,False,False,CMMS
WO000072,20241011,20241022,A004,EQ0003,SV6,R002,WT2,P3,S4,48.79,81.2,False,False,ERP
WO000073,20240906,20240923,A003,EQ0037,SV2,R016,WT1,P4,S4,93.9,135.7,False,False,ServiceDesk
WO000074,20241019,20241026,A005,EQ0024,SV4,R006,WT4,P3,S5,47.84,49.48,False,False,CMMS
WO000075,20241012,20241013,A005,EQ0033,SV4,R026,WT2,P1,S4,6.54,7.81,True,False,CMMS
WO000076,20240930,20241002,A006,EQ0001,SV5,R023,WT2,P2,S4,9.52,8.57,True,False,CMMS
WO000077,20240705,20240710,A006,EQ0001,SV1,R019,WT6,P3,S4,59.22,34.12,False,False,CMMS
WO000078,20240108,20240116,A002,EQ0034,SV1,R007,WT6,P3,S4,48.56,61.98,False,False,CMMS
WO000079,20240806,,A002,EQ0005,SV1,R021,WT4,P3,S2,34.03,43.5,False,True,ServiceDesk
WO000080,20240409,,A005,EQ0007,SV3,R030,WT4,P3,S2,63.92,62.6,False,False,ERP
WO000081,20241010,,A002,EQ0021,SV5,R019,WT6,P2,S2,20.8,35.52,True,False,CMMS
WO000082,20240620,20240626,A005,EQ0025,SV2,R024,WT4,P3,S4,58.69,47.9,False,False,ServiceDesk
WO000083,20241127,,A005,EQ0010,SV8,R028,WT2,P3,S2,61.3,32.19,False,False,CMMS
WO000084,20240805,20240810,A001,EQ0018,SV4,R026,WT1,P3,S4,40.33,33.26,False,False,ServiceDesk
WO000085,20240720,20240723,A001,EQ0027,SV3,R005,WT1,P3,S4,34.22,19.8,False,False,ServiceDesk
WO000086,20241202,20241211,A001,EQ0018,SV8,R027,WT2,P4,S4,54.07,68.87,False,False,CMMS
WO000087,20240622,20240701,A004,EQ0016,SV2,R023,WT2,P3,S4,59.8,65.06,False,False,ServiceDesk
WO000088,20240517,20240614,A004,EQ0003,SV2,R022,WT2,P4,S4,96.56,217.85,False,False,CMMS
WO000089,20240515,,A006,EQ0019,SV4,R007,WT1,P1,S2,7.12,11.79,True,True,ServiceDesk
WO000090,20241116,20241122,A005,EQ0033,SV1,R014,WT2,P3,S5,58.79,44.06,False,False,ERP
WO000091,20241003,20241008,A003,EQ0026,SV6,R028,WT2,P3,S4,50.24,39.55,False,False,CMMS
