EquipmentID,EquipmentName,EquipmentType,Criticality,AreaID,Manufacturer,Model,CommissioningDate,ActiveFlag,_SourceFile,_ExportedAt,_LegacyRowNumber
EQ0001,Alimentador Sintético 0001,Alimentador,Crítica,A005,Sierra Motion,MIN-478,2022-09-23,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,1
EQ0002,Camión CAEX Sintético 0002,Camión CAEX,Crítica,A004,Andes Mining Systems,MIN-685,2019-11-12,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,2
EQ0003,PLC Sintético 0003,PLC,Crítica,A017,Andes Mining Systems,MIN-658,2022-07-03,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,3
EQ0004,Perforadora Sintético 0004,Perforadora,Media,A004,NovaMine,MIN-675,2022-08-08,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,4
EQ0005,Servidor Historiador Sintético 0005,Servidor Historiador,Alta,A017,Pampa Controls,MIN-921,2016-06-03,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,5
EQ0006,Cargador frontal Sintético 0006,Cargador frontal,Media,A004,Sierra Motion,MIN-983,2019-01-26,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,6
EQ0007,Pala eléctrica Sintético 0007,Pala eléctrica,Media,A004,Andes Mining Systems,MIN-802,2022-03-15,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,7
EQ0008,Servidor SCADA Sintético 0008,Servidor SCADA,Crítica,A017,NovaMine,MIN-501,2018-12-03,False,project_dim_equipo_export.csv,2026-06-23T00:00:00,8
EQ0009,RTU Sintético 0009,RTU,Crítica,A017,Sierra Motion,MIN-275,2023-06-29,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,9
EQ0010,Perforadora Sintético 0010,Perforadora,Alta,A004,Kuntur Industrial,MIN-154,2015-04-13,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,10
EQ0011,Camión aljibe Sintético 0011,Camión aljibe,Media,A004,Pampa Controls,MIN-334,2021-07-19,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,11
EQ0012,Molino SAG Sintético 0012,Molino SAG,Media,A008,Andes Mining Systems,MIN-578,2016-12-02,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,12
EQ0013,Chancador primario Sintético 0013,Chancador primario,Crítica,A005,Sierra Motion,MIN-189,2023-10-27,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,13
EQ0014,Sistema de control distribuido Sintético 0014,Sistema de control distribuido,Media,A017,Andes Mining Systems,MIN-586,2022-10-08,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,14
EQ0015,Filtro Sintético 0015,Filtro,Baja,A010,Andes Mining Systems,MIN-136,2024-09-25,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,15
EQ0016,Harnero Sintético 0016,Harnero,Alta,A005,NovaMine,MIN-399,2018-01-22,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,16
EQ0017,Servidor SCADA Sintético 0017,Servidor SCADA,Media,A017,Andes Mining Systems,MIN-589,2020-08-16,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,17
EQ0018,Motoniveladora Sintético 0018,Motoniveladora,Media,A004,Kuntur Industrial,MIN-358,2023-12-20,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,18
EQ0019,Cargador frontal Sintético 0019,Cargador frontal,Alta,A004,Kuntur Industrial,MIN-245,2015-11-18,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,19
EQ0020,Pala hidráulica Sintético 0020,Pala hidráulica,Media,A004,Pampa Controls,MIN-961,2015-07-06,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,20
EQ0021,Sensor de vibración Sintético 0021,Sensor de vibración,Media,A017,Pampa Controls,MIN-485,2015-04-06,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,21
EQ0022,Celda de flotación Sintético 0022,Celda de flotación,Media,A009,Sierra Motion,MIN-698,2020-08-28,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,22
EQ0023,PLC Sintético 0023,PLC,Alta,A017,Kuntur Industrial,MIN-370,2016-04-25,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,23
EQ0024,Sistema de control distribuido Sintético 0024,Sistema de control distribuido,Media,A017,Andes Mining Systems,MIN-463,2020-09-15,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,24
EQ0025,Sistema de relaves Sintético 0025,Sistema de relaves,Alta,A010,Andes Mining Systems,MIN-128,2019-06-25,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,25
EQ0026,Medidor de energía Sintético 0026,Medidor de energía,Alta,A013,Kuntur Industrial,MIN-555,2017-12-10,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,26
EQ0027,RTU Sintético 0027,RTU,Crítica,A017,Pampa Controls,MIN-631,2023-04-02,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,27
EQ0028,Espesador Sintético 0028,Espesador,Media,A010,Sierra Motion,MIN-926,2015-06-26,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,28
EQ0029,Chancador secundario Sintético 0029,Chancador secundario,Media,A005,NovaMine,MIN-259,2021-08-23,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,29
EQ0030,Switch industrial Sintético 0030,Switch industrial,Crítica,A017,Pampa Controls,MIN-581,2020-08-28,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,30
EQ0031,Correa transportadora Sintético 0031,Correa transportadora,Baja,A006,Andes Mining Systems,MIN-960,2023-02-08,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,31
EQ0032,Filtro Sintético 0032,Filtro,Media,A010,Pampa Controls,MIN-574,2021-01-04,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,32
EQ0033,Molino SAG Sintético 0033,Molino SAG,Alta,A008,Pampa Controls,MIN-230,2016-09-19,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,33
EQ0034,Harnero Sintético 0034,Harnero,Alta,A005,Pampa Controls,MIN-531,2015-06-27,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,34
EQ0035,Bomba de pulpa Sintético 0035,Bomba de pulpa,Alta,A012,NovaMine,MIN-625,2015-02-10,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,35
EQ0036,Bulldozer Sintético 0036,Bulldozer,Baja,A004,Kuntur Industrial,MIN-907,2017-07-26,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,36
EQ0037,Chancador primario Sintético 0037,Chancador primario,Alta,A005,Andes Mining Systems,MIN-226,2020-01-30,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,37
EQ0038,Espesador Sintético 0038,Espesador,Crítica,A010,Kuntur Industrial,MIN-387,2016-08-29,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,38
EQ0039,Sistema de relaves Sintético 0039,Sistema de relaves,Media,A010,NovaMine,MIN-160,2018-09-05,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,39
EQ0040,Switch industrial Sintético 0040,Switch industrial,Media,A017,Andes Mining Systems,MIN-929,2022-10-09,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,40
EQ0041,Sensor de vibración Sintético 0041,Sensor de vibración,Alta,A017,Pampa Controls,MIN-857,2023-05-10,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,41
EQ0042,Molino de bolas Sintético 0042,Molino de bolas,Media,A008,Pampa Controls,MIN-355,2016-04-19,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,42
EQ0043,Celda de flotación Sintético 0043,Celda de flotación,Alta,A009,Sierra Motion,MIN-742,2022-07-07,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,43
EQ0044,Alimentador Sintético 0044,Alimentador,Alta,A005,Pampa Controls,MIN-798,2020-01-31,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,44
EQ0045,Bomba de pulpa Sintético 0045,Bomba de pulpa,Alta,A012,Sierra Motion,MIN-690,2016-12-19,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,45
EQ0046,Pala eléctrica Sintético 0046,Pala eléctrica,Baja,A004,Kuntur Industrial,MIN-932,2022-10-11,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,46
EQ0047,Chancador secundario Sintético 0047,Chancador secundario,Media,A005,Pampa Controls,MIN-396,2024-07-27,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,47
EQ0048,Pala hidráulica Sintético 0048,Pala hidráulica,Baja,A004,Pampa Controls,MIN-752,2016-06-07,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,48
EQ0049,Camión CAEX Sintético 0049,Camión CAEX,Crítica,A004,Sierra Motion,MIN-954,2015-11-02,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,49
EQ0050,Medidor de energía Sintético 0050,Medidor de energía,Crítica,A013,Sierra Motion,MIN-484,2017-06-08,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,50
EQ0051,Sistema dispatch Sintético 0051,Sistema dispatch,Media,A004,Kuntur Industrial,MIN-447,2022-04-29,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,51
EQ0052,Camión aljibe Sintético 0052,Camión aljibe,Alta,A004,NovaMine,MIN-799,2022-09-26,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,52
EQ0053,Sistema dispatch Sintético 0053,Sistema dispatch,Crítica,A004,Kuntur Industrial,MIN-716,2022-09-08,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,53
EQ0054,Motoniveladora Sintético 0054,Motoniveladora,Alta,A004,NovaMine,MIN-263,2023-10-21,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,54
EQ0055,Servidor Historiador Sintético 0055,Servidor Historiador,Media,A017,Andes Mining Systems,MIN-509,2022-04-19,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,55
EQ0056,Correa transportadora Sintético 0056,Correa transportadora,Crítica,A006,Kuntur Industrial,MIN-788,2019-05-02,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,56
EQ0057,Camión CAEX Sintético 0057,Camión CAEX,Alta,A004,NovaMine,MIN-351,2022-12-21,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,57
EQ0058,Molino de bolas Sintético 0058,Molino de bolas,Media,A008,Pampa Controls,MIN-838,2022-12-28,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,58
EQ0059,Pala eléctrica Sintético 0059,Pala eléctrica,Crítica,A004,Sierra Motion,MIN-577,2015-05-07,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,59
EQ0060,Bulldozer Sintético 0060,Bulldozer,Media,A004,Kuntur Industrial,MIN-533,2024-09-02,True,project_dim_equipo_export.csv,2026-06-23T00:00:00,60
